Survey ID,Age,Gender,Ethnicity,Marital Status,Education Completed,Household Size,No One,Spouse,Children,Grand Children,Parent,Grandparent,Brother/Sister,Other Relative,Friends,Other ,Religion,Full Time Employment,Part Time Employment,Student,Homemaker,Retired,Occupation,Income,Achieving Ends Meet,US Born,Duration of Residency,Primary Language,English Speaking,English Difficulties,Familiarity with America,Familiarity with Ethnic Origin,Identify Ethnically,Belonging,Present Health,Present Mental Health,Present Oral Health,Hygiene Assistance,Smoking,Drinking,Regular Exercise,Healthy Diet,Hypertension,Diabetes,Arthritis,Physical Check-up,Dentist Check-up,Urgentcare,Folkmedicine,Primary Care,Health Insurance,Dental Insurance,Unmet Health Need,Unmet Dental Needs,Transportation (Medical),Interpretation (Medical),Comunication Problem,Preferance,Language,Family,Close Friend,Acquaintances,Heal Professionals,Mobile Apps,Email,Social Networks,Online Communities,Health Website,Other,Quality of Life,Satisfied With Life
10401,22,Female,Vietnamese,Single,17,4,0,0,0,0,0,0,0,0,Living with friends/roommates,0,Protestant,Employed full time,0,0,0,0,"Clerical, office, sales","$40,000 - $49,999",0,No,13,1,Very well,Very much,High,Very high,Very close,Very much,Very Good,Very Good,Very Good,0,0,0,1,1,0,0,0,Yes,Yes,Yes,0,Yes,Yes,0,0,0,0,0,0,0,English,Yes,No,Yes,No,No,No,No,No,No,0,,
80505,43,Male,Vietnamese,Married,17,3,0,0,Living with children,0,0,0,0,0,0,0,Catholic,Employed full time,0,0,0,0,Professional,"$70,000 and over",0,No,30,,Very well,Much,High,High,Somewhat close,Not very much,Very Good,Good,Good,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Viet,No,No,No,No,No,No,No,No,Yes,0,6,Neither agree or disagree
80018,44,Female,Vietnamese,Married,12,4,0,0,Living with children,0,0,0,0,0,0,0,Buddhist,Employed full time,0,Student,0,0,Service worker,"$20,000 - $29,999",0,No,13,0,Not well,Very much,High,Very high,Very close,Not very much,Good,Good,Fair,0,0,0,1,1,0,0,0,0,,0,Yes,0,Yes,0,0,0,0,Yes,Yes,Yes,Viet,No,No,No,Yes,No,No,No,No,No,0,8,Neither agree or disagree
11019,44,Female,Filipino,Other,16,4,0,Living with spouse,Living with children,0,Living with parents,0,0,0,0,0,Catholic,Employed full time,0,0,0,0,Other,"$30,000 - $39,999",0,No,12,1,Well,Not at all,High,High,Very close,Very much,Excellent,Very Good,Very Good,0,0,0,0,0,0,0,0,Yes,Yes,0,0,Yes,Yes,Yes,0,0,Yes,Yes,0,0,English,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,0,8,Agree
11033,32,Male,Filipino,Married,16,4,0,Living with spouse,Living with children,0,0,0,0,0,0,0,Protestant,Employed full time,0,0,0,0,"Manager, executive, or official","$70,000 and over",1,Yes,32,0,Very well,Not at all,Very high,Very low,Not very close,Not at all,Very Good,Very Good,Good,0,0,0,1,1,0,0,0,0,0,0,Yes,0,Yes,Yes,0,0,0,0,0,0,English,No,No,No,Yes,No,No,No,No,No,0,7,Slightly agree
11085,40,Female,Filipino,Single,17,4,0,0,Living with children,0,0,0,0,0,0,0,Protestant,0,0,0,Full time homemaker,0,Business owner,"$40,000 - $49,999",1,No,9,1,Well,Very much,High,High,Very close,Somewhat,Very Good,Good,Very Good,0,0,0,0,0,0,0,0,0,0,0,0,Yes,0,0,Yes,Yes,0,0,0,0,English,,,,,,,,,,,5,Neither agree or disagree
90039,70,Female,Filipino,Married,12,4,0,0,Living with children,0,0,0,0,0,0,0,Protestant,0,0,0,Full time homemaker,0,,,,No,7,1,Not well,Not at all,High,High,Not very close,Somewhat,Very Good,Good,Fair,0,0,0,0,1,,,,Yes,,,0,Yes,Yes,0,0,0,Yes,Yes,0,Yes,Tagalog,Yes,No,No,No,No,No,No,No,No,0,5,Agree
10040055,68,Female,Filipino,Married,14,3,0,Living with spouse,Living with children,0,0,0,0,0,0,0,Catholic,0,0,0,0,Retired,"Manager, executive, or official","$40,000 - $49,999",0,No,50,0,Very well,Very much,High,High,,Somewhat,Good,Good,Good,0,1,0,1,1,,,,,,,,,,,,,,,,,English,No,No,No,No,No,No,No,No,No,0,8,Agree
80121,46,Male,Vietnamese,Married,10,4,0,Living with spouse,Living with children,0,0,0,0,0,0,0,Buddhist,0,0,0,0,0,Semi-skilled,"$20,000 - $29,999",,No,21,0,Not well,Not much,High,Very high,Very close,Very much,Good,Very Good,Very Good,0,1,0,1,0,Yes,0,0,Yes,0,0,0,Yes,Yes,0,0,0,0,0,0,Yes,Viet,No,No,No,Yes,No,No,No,No,No,0,7,
30052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10399,27,Female,Chinese,Married,17,2,0,Living with spouse,0,0,0,0,0,0,0,0,Protestant,Employed full time,0,0,0,0,Professional,"$50,000 - $59,999",0,Yes,27,0,Very well,Very much,Very high,Very high,Very close,Somewhat,Excellent,Excellent,Excellent,0,0,0,1,1,0,0,0,Yes,Yes,Yes,0,Yes,Yes,Yes,0,0,0,0,0,0,English,No,Yes,No,No,No,No,No,No,No,0,10,
60100,72,Female,Chinese,Married,12,5,0,0,Living with children,0,0,0,0,0,0,0,None,0,0,0,0,Retired,,,,No,0.5,1,Not at all,Very much,Very low,High,,,Fair,Fair,Fair,0,0,0,1,1,0,Yes,0,Yes,Yes,0,Yes,,,,,,,,,,Chinese Simplified,,,,,,,,,,,,
11159,23,Male,Chinese,Living with a partner,10,1,Living with no one,0,0,0,0,0,0,0,0,0,Other,Employed full time,0,0,0,0,Business owner,"$60,000 - $69,999",1,Yes,23,1,Well,Much,High,Low,Somewhat close,Somewhat,Poor,Good,Fair,,1,1,1,1,Yes,0,0,0,0,Yes,0,0,Yes,0,0,Yes,Yes,0,Yes,0,English,No,No,No,No,No,Yes,No,No,No,0,5,Slightly disagree
10258,36,Male,Chinese,Married,13,4,0,Living with spouse,0,0,0,0,0,0,0,0,Catholic,Employed full time,0,0,0,0,"Manager, executive, or official","$0 - $9,999",0,No,15,1,Well,Not much,High,Low,Not very close,Not very much,Very Good,Very Good,Very Good,0,0,0,0,0,0,0,0,0,Yes,0,0,Yes,Yes,Yes,0,0,0,0,0,0,English,Yes,Yes,No,No,No,No,No,No,No,0,,Agree
50208,68,Female,Chinese,Married,14,6,0,0,Living with children,0,0,0,0,0,0,0,None,0,0,0,0,Retired,,,,No,,1,Not at all,Not at all,Low,Very low,Very close,Very much,Fair,Very Good,Good,0,0,0,0,1,Yes,0,Yes,Yes,0,0,Yes,Yes,Yes,Yes,0,0,Yes,Yes,Yes,Yes,Chinese Traditional,Yes,Yes,No,No,No,Yes,Yes,No,No,0,6,Neither agree or disagree
50192,49,Female,Chinese,Married,16,4,0,Living with spouse,0,0,0,0,0,0,0,0,None,Employed full time,0,0,0,0,Business owner,"$40,000 - $49,999",0,No,4,1,Not well,Much,High,High,Somewhat close,Somewhat,Good,Good,Good,0,0,0,0,1,0,0,0,Yes,Yes,0,0,Yes,Yes,Yes,0,0,0,0,0,0,Chinese Traditional,No,No,No,No,No,Yes,No,No,No,0,5,Disagree
60183,75,,Chinese,Married,16,2,0,Living with spouse,0,0,0,0,0,0,0,0,None,0,0,0,0,Retired,,"$0 - $9,999",1,No,20,1,Not at all,Very much,Very low,High,Very close,Very much,Fair,Fair,Poor,0,0,0,1,1,Yes,0,Yes,Yes,Yes,0,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Chinese Simplified,Yes,No,No,No,No,No,No,No,No,0,5,Neither agree or disagree
50010,76,Male,Chinese,Married,16,6,0,0,Living with children,0,0,0,0,0,0,0,None,0,0,0,0,Retired,,"$10,000 - $19,999",0,No,,1,Not at all,Not much,Low,High,,,Fair,Fair,Poor,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Chinese Traditional,Yes,No,No,No,No,No,No,No,No,0,5,Neither agree or disagree
60182,69,Male,Chinese,Married,17,2,0,Living with spouse,0,0,0,0,0,0,0,0,None,0,0,0,0,Retired,,"$50,000 - $59,999",0,No,30,1,Well,Very much,High,High,Somewhat close,Somewhat,Good,Very Good,Fair,0,0,0,1,1,Yes,Yes,0,Yes,Yes,0,0,0,Yes,Yes,0,0,0,0,0,0,Chinese Simplified,No,No,No,No,No,Yes,No,No,Yes,0,7,Slightly agree
60237,74,Male,Chinese,Married,16,5,0,0,Living with children,0,0,0,0,0,0,0,,0,0,0,0,Retired,"Clerical, office, sales","$70,000 and over",1,No,0.5,1,Not at all,Much,Low,High,Somewhat close,Very much,Fair,Good,Poor,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,0,Yes,Chinese Simplified,Yes,Yes,No,Yes,No,No,Yes,Yes,No,0,6,Slightly agree
11171,19,Female,Chinese,Single,13,2,0,0,0,0,0,0,0,0,Living with friends/roommates,0,None,0,0,Student,0,0,,"$30,000 - $39,999",0,No,8,1,Well,Not at all,High,High,Somewhat close,Somewhat,Very Good,Very Good,Very Good,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,0,0,0,Yes,0,0,0,English,Yes,Yes,No,No,No,No,No,No,Yes,0,7,Slightly disagree
50071,65,Male,Chinese,Married,17,2,0,Living with spouse,0,0,0,0,0,0,0,0,Protestant,0,0,0,0,Retired,,"$70,000 and over",0,No,35,1,Well,Not at all,High,High,Somewhat close,Very much,Very Good,Very Good,Very Good,0,0,0,0,1,0,0,0,Yes,Yes,,0,0,Yes,0,0,0,0,0,0,Yes,Chinese Traditional,Yes,Yes,No,No,No,No,No,No,Yes,0,8,Slightly agree
50275,55,Female,Chinese,Married,12,4,0,Living with spouse,Living with children,0,0,0,0,0,0,0,None,Employed full time,0,0,0,0,Service worker,"$30,000 - $39,999",0,No,30,1,Well,Not at all,High,High,Somewhat close,Somewhat,Fair,Good,Good,0,0,0,1,1,Yes,Yes,Yes,Yes,Yes,0,0,Yes,Yes,Yes,0,0,Yes,0,0,Yes,Chinese Traditional,No,No,No,No,No,No,No,No,Yes,0,5,Neither agree or disagree
60106,69,Female,Chinese,Married,12,5,0,0,Living with children,0,0,0,0,0,0,0,None,0,0,0,0,Retired,,,,No,0.5,1,Not at all,,,Low,Not very close,,Fair,Fair,Fair,0,0,0,1,1,Yes,0,0,Yes,Yes,0,0,,0,0,0,0,Yes,Yes,Yes,Yes,Chinese Simplified,No,No,No,No,No,No,No,Yes,Yes,0,5,Neither agree or disagree
60157,67,Female,Chinese,Married,16,6,0,0,Living with children,0,0,0,0,0,0,0,None,0,0,0,0,Retired,,"$0 - $9,999",0,No,3,1,Not at all,Not much,Low,High,Somewhat close,Somewhat,Fair,Fair,Fair,0,0,0,0,1,0,0,0,Yes,0,0,0,0,0,0,0,0,Yes,Yes,0,Yes,Chinese Simplified,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,0,5,Neither agree or disagree
50026,55,Female,Chinese,Married,12,4,0,Living with spouse,Living with children,0,Living with parents,0,0,0,0,0,Protestant,Employed full time,0,0,0,0,Business owner,"$40,000 - $49,999",0,No,25,1,Not well,Not at all,High,High,Very close,,Very Good,Excellent,Very Good,0,0,0,0,1,0,0,0,Yes,Yes,0,0,Yes,Yes,0,0,0,Yes,Yes,Yes,Yes,Chinese Traditional,Yes,Yes,No,No,No,No,Yes,No,No,0,7,Neither agree or disagree
60098,81,Male,Chinese,Married,16,2,0,Living with spouse,0,0,0,0,0,0,0,0,None,0,0,0,0,Retired,,,1,No,12,1,Not well,Not at all,Low,High,Somewhat close,Somewhat,Good,Fair,Poor,0,0,0,1,1,Yes,0,0,Yes,Yes,Yes,0,Yes,Yes,Yes,0,Yes,Yes,Yes,0,Yes,Chinese Simplified,Yes,No,No,No,No,No,No,No,No,0,6,Neither agree or disagree
60230,45,Female,Chinese,Married,17,4,0,Living with spouse,Living with children,0,0,0,0,0,0,0,None,Employed full time,0,0,0,0,Professional,"$70,000 and over",0,No,19,1,Well,Much,High,High,Very close,Somewhat,Good,Good,Good,0,0,0,1,1,0,0,0,Yes,Yes,0,0,Yes,Yes,Yes,0,0,Yes,0,Yes,Yes,Chinese Simplified,Yes,Yes,No,No,No,No,No,No,No,0,5,Slightly agree
10074,78,Male,Chinese,Single,16,1,Living with no one,0,0,0,0,0,0,0,0,0,Catholic,0,0,0,0,Retired,,"$60,000 - $69,999",0,Yes,78,0,Very well,Not at all,Very high,High,Somewhat close,Not very much,Excellent,Very Good,Excellent,0,0,0,1,1,Yes,Yes,Yes,Yes,Yes,0,0,Yes,Yes,Yes,0,0,0,0,0,0,English,Yes,Yes,No,Yes,No,No,No,No,No,0,10,Agree
60110,24,Female,Chinese,Single,17,3,0,0,0,0,Living with parents,0,0,0,0,0,None,0,0,Student,0,0,,"$30,000 - $39,999",0,No,,1,Not well,Much,High,High,Somewhat close,Somewhat,Good,Good,Fair,0,0,0,1,1,0,0,0,Yes,Yes,0,0,Yes,Yes,Yes,0,0,0,0,0,Yes,Chinese Simplified,No,No,No,Yes,No,No,No,No,Yes,0,7,Slightly agree
50011,75,Female,Chinese,Married,16,6,0,0,Living with children,0,0,0,0,0,0,0,None,0,0,0,0,Retired,,,,No,,1,Not at all,Much,Low,High,Somewhat close,,Fair,Good,Fair,0,,0,0,1,Yes,0,Yes,0,0,0,0,,,,,,,,,,Chinese Traditional,No,No,No,No,No,No,No,No,No,1,5,Slightly agree
60108,69,Female,Chinese,Married,14,6,0,Living with spouse,Living with children,Living with grandchildren,0,0,0,0,0,0,None,0,0,0,0,Retired,,"$10,000 - $19,999",0,No,0.5,1,Not at all,Not much,Low,High,Somewhat close,Somewhat,Good,Very Good,Good,0,0,0,1,1,0,0,0,Yes,Yes,0,Yes,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Chinese Simplified,No,Yes,No,No,No,No,Yes,Yes,Yes,0,6,Agree
60138,61,,Chinese,Married,16,5,0,0,Living with children,0,0,0,0,0,0,0,Other,0,0,0,0,Retired,,,0,No,1,1,Not at all,Very much,Very low,High,Very close,Very much,Fair,Good,Fair,0,0,0,1,1,0,0,0,Yes,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Chinese Simplified,No,No,No,No,No,No,Yes,No,No,0,6,Slightly agree
50216,74,Female,Chinese,Married,7,2,0,0,Living with children,0,0,0,0,0,0,0,None,0,0,0,Full time homemaker,0,,"$0 - $9,999",1,No,2,1,Not at all,Much,High,High,Somewhat close,Somewhat,Fair,Fair,Fair,0,0,0,0,1,0,0,0,0,0,0,Yes,0,0,0,0,0,0,Yes,Yes,Yes,Chinese Traditional,Yes,No,No,No,No,No,No,No,No,0,4,Slightly agree
60015,52,Female,Chinese,Married,16,4,0,Living with spouse,Living with children,0,0,0,0,0,0,0,None,Employed full time,0,0,0,0,Professional,,0,No,15,1,Well,Very much,High,Very high,Very close,Very much,Excellent,Excellent,Poor,0,0,0,1,1,0,0,0,Yes,Yes,0,0,0,Yes,Yes,0,0,0,0,0,0,Chinese Simplified,No,No,No,No,No,No,No,No,No,0,8,Agree
60061,76,Female,Chinese,Married,9,8,0,0,Living with children,Living with grandchildren,0,0,0,0,0,0,None,0,0,0,0,Retired,,,1,No,4,1,Not at all,Very much,Very high,High,Very close,Very much,Fair,Good,Fair,0,0,0,1,1,Yes,0,Yes,Yes,Yes,0,0,Yes,0,0,,Yes,Yes,Yes,Yes,Yes,Chinese Simplified,Yes,Yes,No,No,No,No,No,No,No,0,6,Neither agree or disagree
50114,45,Female,Chinese,Single,16,2,0,0,Living with children,0,0,0,0,0,0,0,Protestant,Employed full time,0,0,0,0,Service worker,"$0 - $9,999",,No,0.5,1,Not at all,Very much,Very high,High,Not very close,Not very much,Excellent,Very Good,Fair,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese Traditional,No,No,No,No,No,No,No,No,Yes,0,1,Slightly disagree
50058,66,Male,Chinese,Married,17,3,0,Living with spouse,0,0,Living with parents,0,0,0,0,0,Protestant,0,0,0,0,Retired,,,0,No,42,1,Very well,Very much,Very high,Very high,Very close,Very much,Very Good,Very Good,Very Good,0,0,0,1,0,Yes,Yes,0,Yes,Yes,0,Yes,Yes,Yes,Yes,0,0,0,0,0,0,Chinese Traditional,Yes,No,No,Yes,No,Yes,No,No,No,0,10,Agree
60241,40,Female,Chinese,Married,17,5,0,Living with spouse,0,0,Living with parents,0,0,0,0,0,Protestant,Employed full time,0,0,0,0,Professional,"$70,000 and over",0,No,13,1,Well,Not much,High,High,Very close,Very much,Good,Fair,Good,0,0,0,1,1,0,0,0,Yes,Yes,0,Yes,Yes,Yes,Yes,0,0,0,0,0,0,Chinese Simplified,No,No,No,Yes,No,No,No,No,Yes,0,6,Slightly agree
10178,57,Male,Chinese,Married,17,4,0,Living with spouse,Living with children,0,0,0,0,0,0,0,Catholic,Employed full time,0,0,0,0,Professional,"$70,000 and over",0,No,29,1,Very well,Very much,Very high,Very high,Somewhat close,Very much,Excellent,Excellent,Excellent,0,0,0,1,1,0,0,0,Yes,Yes,0,Yes,Yes,Yes,Yes,0,0,0,0,0,0,English,No,No,Yes,Yes,No,No,No,Yes,Yes,0,10,Strongly agree
80349,65,Female,Vietnamese,Married,10,5,0,Living with spouse,0,0,0,0,0,0,0,0,Protestant,Employed full time,0,0,0,0,Semi-skilled,"$20,000 - $29,999",0,,35,1,Well,Much,High,High,Very close,Somewhat,Good,Good,Good,0,0,0,1,1,0,0,0,Yes,Yes,0,0,Yes,Yes,Yes,0,0,0,0,0,0,Viet,No,No,No,Yes,No,No,No,No,No,0,9,Slightly agree
10276,19,Female,Chinese,Single,14,5,0,0,0,0,Living with parents,0,Living with brothers/sisters,0,0,0,Buddhist,0,0,Student,0,0,,"$20,000 - $29,999",1,No,7,1,Well,Much,High,Very high,Very close,Very much,Excellent,Excellent,Excellent,0,0,0,0,1,0,0,0,Yes,Yes,0,0,Yes,0,0,0,0,0,0,Yes,Yes,English,Yes,No,No,No,No,No,No,Yes,No,0,8,Neither agree or disagree
40166,36,Male,Chinese,Married,17,4,0,Living with spouse,Living with children,0,0,0,0,0,0,0,Muslim,Employed full time,0,0,0,0,Professional,"$70,000 and over",0,No,4,1,Well,Very much,Low,Very high,Very close,Very much,Very Good,Very Good,Very Good,0,0,0,0,1,0,0,0,0,0,0,0,0,Yes,Yes,0,0,0,0,0,Yes,Eng_Chinese only,No,No,No,No,Yes,Yes,No,No,No,0,7,Agree
40208,68,Male,Chinese,Married,17,2,0,Living with spouse,0,0,0,0,0,0,0,0,Buddhist,0,0,0,0,Retired,Professional,"$50,000 - $59,999",0,No,39,0,Very well,Very much,High,Very high,Very close,Very much,Very Good,Very Good,Very Good,0,0,0,1,1,Yes,0,0,Yes,0,0,0,Yes,Yes,0,0,0,0,0,0,0,Eng_Chinese only,No,No,No,Yes,No,No,No,No,No,0,8,Agree
60207,76,Female,Chinese,Married,13,4,0,Living with spouse,0,0,0,0,0,0,0,0,None,0,0,0,0,Retired,Skilled trades,"$10,000 - $19,999",1,No,6,1,Not at all,Very much,Low,High,Somewhat close,Somewhat,Very Good,Very Good,Good,0,0,0,1,1,Yes,0,Yes,0,0,0,0,0,0,0,0,0,Yes,Yes,0,Yes,Chinese Simplified,Yes,No,No,No,Yes,No,No,No,No,0,6,Neither agree or disagree
60218,75,Female,Chinese,,12,2,0,0,Living with children,0,0,0,0,0,0,0,Protestant,0,0,0,0,Retired,,"$0 - $9,999",1,No,10,1,Not at all,Very much,Low,High,Somewhat close,Somewhat,Fair,Fair,Fair,0,0,0,1,1,0,0,Yes,0,0,0,0,0,Yes,0,0,0,0,Yes,0,Yes,Chinese Simplified,No,No,No,No,No,No,No,No,Yes,0,5,Agree
80398,51,Female,Chinese,Married,12,4,0,Living with spouse,Living with children,0,0,0,0,0,0,0,Buddhist,Employed full time,0,0,0,0,Service worker,"$30,000 - $39,999",0,No,22,0,Well,Much,Low,Low,Somewhat close,Not very much,Excellent,Excellent,Very Good,0,0,0,0,1,0,0,0,Yes,Yes,0,0,Yes,Yes,Yes,0,0,0,0,0,Yes,Viet,No,No,Yes,No,No,Yes,Yes,No,Yes,0,8,Agree
60008,68,Female,Chinese,Married,6,7,0,Living with spouse,Living with children,Living with grandchildren,0,0,Living with brothers/sisters,0,0,0,Buddhist,0,0,0,0,0,,,,No,5,1,Not at all,Very much,Low,Low,Very close,,Fair,Fair,Fair,0,0,0,1,1,Yes,0,0,Yes,Yes,0,0,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Chinese Simplified,Yes,No,No,No,No,No,No,No,No,0,5,Neither agree or disagree
60065,45,Male,Chinese,Married,9,3,0,Living with spouse,0,0,0,0,0,0,0,0,Buddhist,Employed full time,0,0,0,0,Business owner,"$20,000 - $29,999",0,No,2,1,Not at all,Very much,Very low,High,Not very close,Not at all,Fair,Fair,Good,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Yes,Yes,Yes,Chinese Simplified,Yes,No,No,No,No,No,No,No,No,0,5,Agree
60089,58,Female,Chinese,Married,12,5,0,0,Living with children,Living with grandchildren,0,0,0,0,0,0,,0,0,0,0,Retired,,,,No,0.5,1,Not at all,Very much,Low,High,Somewhat close,Very much,Very Good,Very Good,Very Good,0,0,0,1,1,0,Yes,0,Yes,Yes,0,0,0,0,0,Yes,Yes,Yes,Yes,0,0,Chinese Simplified,Yes,Yes,Yes,No,No,No,No,Yes,No,0,5,Neither agree or disagree
60134,41,Male,Chinese,Married,17,4,0,Living with spouse,Living with children,0,0,0,0,0,0,0,None,Employed full time,0,0,0,0,Professional,"$70,000 and over",0,No,17,1,Well,Not much,High,High,Somewhat close,Somewhat,Fair,Excellent,Fair,0,0,0,0,1,Yes,0,0,Yes,Yes,0,0,Yes,Yes,Yes,0,0,0,0,Yes,,Chinese Simplified,Yes,Yes,No,Yes,No,No,Yes,No,No,0,7,Agree
60143,86,Male,Chinese,Married,14,2,0,Living with spouse,0,0,0,0,0,0,0,0,Protestant,0,0,0,0,Retired,,,0,No,15,1,Not at all,Not much,Low,High,Somewhat close,Somewhat,Fair,Good,Fair,0,0,0,1,1,Yes,Yes,0,Yes,Yes,0,0,Yes,Yes,Yes,0,0,Yes,Yes,0,Yes,Chinese Simplified,Yes,No,No,Yes,No,Yes,No,No,No,0,6,Strongly agree
50148,25,Female,Chinese,Single,16,2,0,0,0,0,0,0,0,0,Living with friends/roommates,0,None,0,0,0,0,0,,"$0 - $9,999",1,No,1,1,Not at all,Not much,Low,Low,Not at all,Not very much,Very Good,Very Good,Very Good,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese Traditional,No,No,No,No,No,No,Yes,No,Yes,0,5,Neither agree or disagree
10040092,49,Male,Chinese,Married,17,4,0,0,Living with children,0,0,0,0,0,0,0,None,Employed full time,0,0,0,0,Professional,"$70,000 and over",0,No,16,1,Well,Very much,Low,High,Somewhat close,Very much,Excellent,Excellent,Very Good,0,0,0,1,0,0,0,0,Yes,Yes,0,0,Yes,Yes,Yes,0,0,0,0,0,0,English,No,No,No,Yes,No,No,No,No,No,0,10,Agree
